geneID	gff_annotation	gff_annotation.1
102076947	LOC102076947	uncharacterized LOC102076947
102076948	LOC102076948	semaphorin-7A
102076950	LOC102076950	uncharacterized LOC102076950%2C transcript variant X2
102076953	LOC102076953	uridine 5'-monophosphate synthase
102076955	cobl	cordon-bleu WH2 repeat protein%2C transcript variant X5
102076956	LOC102076956	uncharacterized LOC102076956
102076957	LOC102076957	C-type lectin domain family 4 member E
102076958	lg23h19orf44	linkage group 23 C19orf44 homolog
102076961	LOC102076961	uncharacterized LOC102076961
102076962	LOC102076962	5-hydroxytryptamine receptor 3E-like
102076963	LOC102076963	GTPase IMAP family member 4
102076964	tspan10	tetraspanin 10
102076965	LOC102076965	protein asteroid homolog 1%2C transcript variant X2
102076966	LOC102076966	uncharacterized LOC102076966%2C transcript variant X2
102076967	LOC102076967	arrestin domain-containing protein 3-like
102076968	LOC102076968	protein FAM83B-like%2C transcript variant X3
102076969	LOC102076969	spindle pole body component 110%2C transcript variant X3
102076971	LOC102076971	uncharacterized LOC102076971
102076972	LOC102076972	uncharacterized LOC102076972%2C transcript variant X2
102076973	LOC102076973	sal-like protein 2%2C transcript variant X1
102076974	LOC102076974	uncharacterized LOC102076974
102076976	LOC102076976	uncharacterized LOC102076976
102076977	LOC102076977	membrane-associated guanylate kinase%2C WW and PDZ domain-containing protein 2%2C transcript variant X6
102076978	LOC102076978	uncharacterized LOC102076978%2C transcript variant X1
102076979	LOC102076979	butyrophilin subfamily 3 member A2%2C transcript variant X2
102076980	LOC102076980	uncharacterized LOC102076980%2C transcript variant X1
102076984	LOC102076984	immunoglobulin superfamily member 2
102076988	LOC102076988	polymeric immunoglobulin receptor%2C transcript variant X1
102076990	LOC102076990	CD276 antigen%2C transcript variant X5
102076992	LOC102076992	zinc finger protein 726-like%2C transcript variant X3
102076995	LOC102076995	uncharacterized LOC102076995
102076996	LOC102076996	probable basic-leucine zipper transcription factor H%2C transcript variant X3
102076998	LOC102076998	mucin-5AC%2C transcript variant X3
102076999	LOC102076999	uncharacterized LOC102076999
102077000	LOC102077000	SH2 domain-containing protein 4A%2C transcript variant X2
102077005	LOC102077005	uncharacterized LOC102077005%2C transcript variant X1
102077007	LOC102077007	uncharacterized LOC102077007
102077008	LOC102077008	uncharacterized LOC102077008%2C transcript variant X2
102077009	LOC102077009	toll-like receptor 2
102077010	LOC102077010	NACHT%2C LRR and PYD domains-containing protein 12%2C transcript variant X3
102077011	LOC102077011	adhesion G protein-coupled receptor F5
102077013	LOC102077013	uncharacterized LOC102077013
102077016	LOC102077016	carcinoembryonic antigen-related cell adhesion molecule 7-like
102077017	LOC102077017	interleukin-6
102077018	LOC102077018	uncharacterized LOC102077018
102077019	LOC102077019	zinc finger BED domain-containing protein 1-like
102077020	LOC102077020	uncharacterized LOC109196204
102077022	cbx6	chromobox 6%2C transcript variant X2
102077025	LOC102077025	protein NLRC3
102077026	LOC102077026	uncharacterized LOC102077026
102077027	LOC102077027	uncharacterized LOC102077027%2C transcript variant X4
102077031	LOC102077031	uncharacterized LOC102077031
102077033	LOC102077033	uncharacterized LOC102077033
102077035	LOC102077035	capping protein%2C Arp2/3 and myosin-I linker protein 2
102077036	vasn	vasorin
102077037	LOC102077037	uncharacterized LOC102077037
102077038	LOC102077038	atrial natriuretic peptide-converting enzyme
102077040	LOC102077040	cell wall integrity and stress response component 2
102077042	alms1	ALMS1%2C centrosome and basal body associated protein%2C transcript variant X3
102077043	LOC102077043	uncharacterized LOC102077043
102077044	LOC102077044	uncharacterized LOC102077044
102077045	LOC102077045	uncharacterized LOC102077045
102077049	LOC102077049	uncharacterized LOC102077049
102077052	LOC102077052	cytochrome P450 3A27
102077056	LOC102077056	uncharacterized LOC102077056%2C transcript variant X3
102077059	LOC102077059	L-fucose kinase
102077060	LOC102077060	nuclear factor 7%2C brain-like
102077062	LOC102077062	uncharacterized LOC102077062
102077064	LOC102077064	uncharacterized LOC102077064%2C transcript variant X1
102077065	LOC102077065	paralemmin-2-like
102077067	lg12h9orf84	linkage group 12 C9orf84 homolog%2C transcript variant X1
102077068	LOC102077068	uncharacterized LOC102077068
102077069	LOC102077069	uncharacterized LOC102077069
102077070	LOC102077070	uncharacterized LOC102077070
102077072	LOC102077072	trophoblast glycoprotein-like
102077075	LOC102077075	uncharacterized LOC102077075%2C transcript variant X2
102077076	LOC102077076	uncharacterized LOC102077076
102077077	LOC102077077	arachidonate 5-lipoxygenase-like
102077078	LOC102077078	hepatocyte cell adhesion molecule
102077079	LOC102077079	formin-like protein 5%2C transcript variant X1
102077080	LOC102077080	pseudopodium-enriched atypical kinase 1
102077081	LOC102077081	uncharacterized LOC102077081%2C transcript variant X2
102077083	LOC102077083	protein piccolo%2C transcript variant X1
102077084	LOC102077084	uncharacterized LOC102077084
102077085	LOC102077085	uncharacterized LOC102077085
102077087	LOC102077087	polymeric immunoglobulin receptor
102077089	LOC102077089	uncharacterized LOC102077089
102077094	LOC102077094	T-cell surface antigen CD2-like%2C transcript variant X4
102077096	LOC102077096	E3 ubiquitin-protein ligase rnf213-beta%2C transcript variant X2
102077098	LOC102077098	major histocompatibility complex class I-related gene protein-like
102077099	LOC102077099	amine oxidase [flavin-containing]%2C transcript variant X1
102077102	LOC102077102	uncharacterized LOC102077102%2C transcript variant X1
102077103	lrtm1	leucine rich repeats and transmembrane domains 1
102077106	LOC102077106	adhesion G-protein coupled receptor G5%2C transcript variant X3
102077107	LOC102077107	uncharacterized LOC102077107%2C transcript variant X1
102077110	LOC102077110	uncharacterized LOC102077110
102077112	LOC102077112	Ig kappa chain V region 3368-like
102077113	LOC102077113	serine/threonine-protein kinase pim-1
102077114	LOC102077114	butyrophilin subfamily 2 member A2%2C transcript variant X4
102077115	LOC102077115	uncharacterized LOC102077115%2C transcript variant X3
102077116	LOC102077116	uncharacterized LOC102077116
102077117	LOC102077117	uncharacterized LOC102077117
102077119	LOC102077119	up-regulator of cell proliferation-like%2C transcript variant X2
102077122	LOC102077122	cholesterol 24-hydroxylase
102077124	lrrtm2	leucine rich repeat transmembrane neuronal 2
102077125	LOC102077125	uncharacterized LOC102077125
102077126	LOC102077126	uncharacterized LOC102077126%2C transcript variant X2
102077127	LOC102077127	uncharacterized LOC102077127
102077128	LOC102077128	zinc finger BED domain-containing protein 1-like
102077129	LOC102077129	ephrin-A4
102077130	LOC102077130	flocculation protein FLO11-like
102077131	LOC102077131	zinc finger protein 638%2C transcript variant X2
102077132	LOC102077132	uncharacterized LOC102077132
102077135	tnfrsf13b	TNF receptor superfamily member 13B%2C transcript variant X2
102077137	LOC102077137	uncharacterized LOC102077137
102077138	LOC102077138	extracellular calcium-sensing receptor-like
102077140	LOC102077140	uncharacterized LOC102077140%2C transcript variant X2
102077141	LOC102077141	uncharacterized LOC102077141%2C transcript variant X1
102077143	LOC102077143	uncharacterized LOC102077143
102077144	LOC102077144	NACHT%2C LRR and PYD domains-containing protein 3-like
102077145	LOC102077145	uncharacterized LOC102077145
102077147	ccdc138	coiled-coil domain containing 138%2C transcript variant X4
102077149	LOC102077149	protein RIC-3
102077151	LOC102077151	uncharacterized LOC102077151
102077153	LOC102077153	uncharacterized LOC102077153
102077154	LOC102077154	uncharacterized LOC102077154
102077155	LOC102077155	uncharacterized LOC102077155%2C transcript variant X1
102077156	LOC102077156	uncharacterized LOC102077156
102077157	LOC102077157	uncharacterized LOC102077157%2C transcript variant X1
102077159	LOC102077159	dual specificity protein phosphatase 13-like
102077161	LOC102077161	ADM2
102077162	LOC102077162	uncharacterized LOC102077162
102077163	LOC102077163	uncharacterized LOC102077163%2C transcript variant X2
102077164	LOC102077164	uncharacterized LOC102077164
102077166	LOC102077166	C-type lectin domain family 10 member A-like
102077167	LOC102077167	uncharacterized LOC102077167%2C transcript variant X2
102077170	LOC102077170	zinc finger protein OZF%2C transcript variant X2
102077172	LOC102077172	uncharacterized LOC102077172
102077174	LOC102077174	uncharacterized LOC102077174
102077180	LOC102077180	receptor-type tyrosine-protein phosphatase H%2C transcript variant X2
102077186	LOC102077186	uncharacterized LOC102077186
102077187	LOC102077187	dr1-associated corepressor%2C transcript variant X1
102077190	LOC102077190	CD209 antigen-like protein C%2C transcript variant X2
102077192	LOC102077192	uncharacterized LOC102077192
102077194	LOC102077194	Ig kappa chain V-III region PC 2154-like
102077195	LOC102077195	E-selectin-like
102077196	LOC102077196	uncharacterized LOC102077196
102077197	LOC102077197	galanin receptor type 2%2C transcript variant X1
102077198	LOC102077198	uncharacterized LOC102077198%2C transcript variant X2
102077200	LOC102077200	uncharacterized LOC102077200
102077201	LOC102077201	myelin-oligodendrocyte glycoprotein%2C transcript variant X2
102077202	LOC102077202	uncharacterized LOC102077202%2C transcript variant X3
102077203	LOC102077203	uncharacterized LOC102077203
102077204	LOC102077204	myelin-associated glycoprotein
102077209	LOC102077209	uncharacterized LOC102077209
102077210	LOC102077210	NXPE family member 3%2C transcript variant X2
102077211	LOC102077211	inter-alpha-trypsin inhibitor heavy chain H3-like%2C transcript variant X5
102077212	LOC102077212	uncharacterized LOC102077212
102077213	LOC102077213	uncharacterized LOC102077213
102077215	LOC102077215	uncharacterized LOC102077215
102077216	LOC102077216	uncharacterized LOC102077216%2C transcript variant X2
102077217	LOC102077217	uncharacterized LOC102077217
102077219	LOC102077219	uncharacterized LOC102077219
102077220	LOC102077220	kelch-like protein 10
102077222	LOC102077222	acyl-CoA-binding domain-containing protein 5-B%2C transcript variant X5
102077223	LOC102077223	uncharacterized LOC102077223%2C transcript variant X4
102077224	LOC102077224	somatomedin-B and thrombospondin type-1 domain-containing protein%2C transcript variant X1
102077225	LOC102077225	uncharacterized LOC102077225
102077226	LOC102077226	uncharacterized LOC102077226
102077229	LOC102077229	uncharacterized LOC102077229%2C transcript variant X1
102077235	LOC102077235	uncharacterized LOC102077235%2C transcript variant X2
102077236	LOC102077236	inner ear-specific collagen-like
102077238	LOC102077238	active breakpoint cluster region-related protein%2C transcript variant X1
102077239	LOC102077239	uncharacterized LOC102077239%2C transcript variant X4
102077240	LOC102077240	uncharacterized LOC102077240
102077241	LOC102077241	aquaporin AQPAe.a
102077243	LOC102077243	uncharacterized LOC102077243
102077247	LOC102077247	uncharacterized LOC102077247
102077248	LOC102077248	leucine-rich repeat LGI family member 2
102077250	LOC102077250	polymeric immunoglobulin receptor
102077251	LOC102077251	uncharacterized LOC102077251
102077252	LOC102077252	homeobox protein NOBOX%2C transcript variant X3
102077254	LOC102077254	probable G-protein coupled receptor 21
102077255	LOC102077255	muscle M-line assembly protein unc-89%2C transcript variant X3
102077257	LOC102077257	uncharacterized LOC102077257
102077258	LOC102077258	uncharacterized LOC102077258
102077259	LOC102077259	FYN-binding protein%2C transcript variant X2
102077260	LOC102077260	uncharacterized LOC102077260%2C transcript variant X1
102077261	LOC102077261	transcription intermediary factor 1-alpha
102077263	LOC102077263	relaxin-3
102077264	LOC102077264	arrestin domain-containing protein 3
102077265	LOC102077265	uncharacterized LOC102077265
102077266	LOC102077266	estrogen-related receptor gamma%2C transcript variant X7
102077267	LOC102077267	uncharacterized LOC102077267
102077269	LOC102077269	uncharacterized LOC102077269
102077272	LOC102077272	structural maintenance of chromosomes flexible hinge domain-containing protein 1%2C transcript variant X3
102077275	LOC102077275	uncharacterized LOC102077275
102077276	LOC102077276	uncharacterized LOC102077276%2C transcript variant X1
102077277	uhmk1	U2AF homology motif kinase 1
102077279	LOC102077279	uncharacterized LOC102077279
102077280	cspg4	chondroitin sulfate proteoglycan 4
102077281	LOC102077281	putative glycine-rich cell wall structural protein 1
102077283	LOC102077283	syntaxin-11
102077285	LOC102077285	thyroid hormone receptor-associated protein 3%2C transcript variant X3
102077286	LOC102077286	uncharacterized LOC102077286
102077288	LOC102077288	neuropeptides capa receptor
102077289	lcorl	ligand dependent nuclear receptor corepressor like%2C transcript variant X2
102077291	LOC102077291	uncharacterized LOC102077291
102077292	LOC102077292	uncharacterized LOC102077292
102077293	LOC102077293	uncharacterized LOC102077293
102077295	zfr	zinc finger RNA binding protein%2C transcript variant X3
102077296	LOC102077296	semaphorin-7A
102077297	LOC102077297	uncharacterized LOC102077297
102077299	LOC102077299	C-type mannose receptor 2
102077300	LOC102077300	hemicentin-2%2C transcript variant X5
102077302	LOC102077302	uncharacterized LOC102077302
102077308	LOC102077308	mannose-binding protein C
102077309	LOC102077309	uncharacterized LOC102077309%2C transcript variant X2
102077310	LOC102077310	uncharacterized LOC102077310%2C transcript variant X2
102077312	LOC102077312	neuron-specific protein family member 1%2C transcript variant X1
102077313	LOC102077313	uncharacterized LOC102077313
102077314	LOC102077314	XK-related protein 5%2C transcript variant X1
102077315	lg7h9orf69	linkage group 7 C9orf69 homolog
102077316	LOC102077316	uncharacterized LOC102077316%2C transcript variant X3
102077317	LOC102077317	kazal-type serine protease inhibitor domain-containing protein 1
102077318	LOC102077318	CD209 antigen-like protein E%2C transcript variant X2
102077320	LOC102077320	uncharacterized LOC102077320%2C transcript variant X2
102077322	LOC102077322	uncharacterized LOC102077322%2C transcript variant X2
102077323	LOC102077323	uncharacterized LOC102077323%2C transcript variant X3
102077324	LOC102077324	uncharacterized LOC102077324
102077325	LOC102077325	uncharacterized LOC102077325
102077326	LOC102077326	ladderlectin
102077327	LOC102077327	uncharacterized LOC102077327
102077328	prr35	proline rich 35
102077329	LOC102077329	uncharacterized protein LOC102082489
102077330	LOC102077330	sialoadhesin
102077333	LOC102077333	uncharacterized LOC102077333
102077336	LOC102077336	heterogeneous nuclear ribonucleoprotein C
102077338	LOC102077338	uncharacterized LOC102077338%2C transcript variant X1
102077340	tmem179b	transmembrane protein 179B%2C transcript variant X1
102077341	LOC102077341	nuclear factor erythroid 2-related factor 1%2C transcript variant X2
102077342	b3gnt3	UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase 3%2C transcript variant X1
102077343	LOC102077343	polymeric immunoglobulin receptor-like%2C transcript variant X2
102077344	LOC102077344	G-protein-signaling modulator 1%2C transcript variant X1
102077346	LOC102077346	arrestin domain-containing protein 2
102077347	slco4a1	solute carrier organic anion transporter family member 4A1%2C transcript variant X2
102077348	LOC102077348	uncharacterized protein CXorf57 homolog%2C transcript variant X3
102077349	LOC102077349	uncharacterized LOC102077349
102077350	LOC102077350	butyrophilin subfamily 2 member A1
102077351	gpr160	G protein-coupled receptor 160%2C transcript variant X2
102077352	LOC102077352	adhesion G-protein coupled receptor G1%2C transcript variant X7
102077353	LOC102077353	UDP-glucuronosyltransferase 2C1
102077355	LOC102077355	zinc finger protein 544
102077356	LOC102077356	B2 bradykinin receptor-like
102077357	LOC102077357	uncharacterized LOC102077357
102077359	LOC102077359	uncharacterized LOC102077359%2C transcript variant X2
102077360	LOC102077360	uncharacterized LOC102077360
102077361	LOC102077361	uncharacterized LOC102077361%2C transcript variant X1
102077362	LOC102077362	uncharacterized LOC102077362
102077365	LOC102077365	uncharacterized WD repeat-containing protein alr2800
102077369	LOC102077369	uncharacterized LOC102077369
102077370	LOC102077370	immunoglobulin lambda-like polypeptide 5 isoform X3
102077371	LOC102077371	uncharacterized LOC102077371
102077373	LOC102077373	fibrillin-2-like
102077374	LOC102077374	uncharacterized LOC102077374%2C transcript variant X1
102077375	LOC102077375	uncharacterized LOC102077375
102077377	LOC102077377	axoneme-associated protein mst101(2)%2C transcript variant X2
102077379	LOC102077379	uncharacterized LOC102077379%2C transcript variant X3
102077381	LOC102077381	dyslexia-associated protein KIAA0319%2C transcript variant X2
102077382	LOC102077382	low affinity immunoglobulin gamma Fc region receptor II%2C transcript variant X2
102077383	LOC102077383	uncharacterized LOC102077383
102077384	LOC102077384	uncharacterized LOC102077384
102077385	LOC102077385	myelin-oligodendrocyte glycoprotein-like%2C transcript variant X4
102077389	LOC102077389	protein transport protein Sec24C%2C transcript variant X1
102077391	LOC102077391	uncharacterized LOC102077391%2C transcript variant X3
102077392	LOC102077392	uncharacterized LOC102077392
102077393	LOC102077393	CST complex subunit CTC1
102077394	LOC102077394	uncharacterized LOC102077394
102077395	LOC102077395	uncharacterized LOC102077395
102077396	sowaha	sosondowah ankyrin repeat domain family member A
102077397	LOC102077397	uncharacterized LOC102077397%2C transcript variant X1
102077399	LOC102077399	uncharacterized LOC102077399
102077400	LOC102077400	tripartite motif-containing protein 35
102077402	LOC102077402	uncharacterized LOC102077402
102077403	LOC102077403	CD48 antigen%2C transcript variant X1
102077404	LOC102077404	CD209 antigen-like protein C
102077406	LOC102077406	uncharacterized LOC102077406
102077407	LOC102077407	uncharacterized LOC102077407
102077410	fam161b	family with sequence similarity 161 member B%2C transcript variant X2
102077412	uspl1	ubiquitin specific peptidase like 1%2C transcript variant X2
102077414	LOC102077414	uncharacterized LOC102077414
102077416	LOC102077416	uncharacterized LOC102077416
102077417	LOC102077417	uncharacterized LOC102077417
102077418	LOC102077418	uncharacterized LOC102077418
102077419	LOC102077419	DELTA-sagatoxin-Srs1a
102077420	LOC102077420	uncharacterized LOC102077420
102077421	LOC102077421	zinc finger BED domain-containing protein 4
102077424	LOC102077424	uncharacterized LOC102077424%2C transcript variant X2
102077425	LOC102077425	uncharacterized LOC102077425%2C transcript variant X1
102077427	xirp2	xin actin binding repeat containing 2%2C transcript variant X1
102077428	LOC102077428	uncharacterized LOC102077428
102077429	LOC102077429	E3 ubiquitin-protein ligase rnf213-alpha%2C transcript variant X1
102077430	LOC102077430	uncharacterized LOC102077430%2C transcript variant X2
102077431	LOC102077431	uncharacterized LOC102077431
102077433	LOC102077433	uncharacterized LOC102077433%2C transcript variant X6
102077434	LOC102077434	uncharacterized LOC102077434
102077435	smim18	small integral membrane protein 18
102077436	LOC102077436	plexin-C1-like
102077437	LOC102077437	uncharacterized LOC102077437
102077440	gpr82	G protein-coupled receptor 82
102077441	LOC102077441	uncharacterized LOC102077441
102077442	LOC102077442	E3 ubiquitin-protein ligase TRIM39-like
102077443	LOC102077443	low affinity immunoglobulin gamma Fc region receptor II
102077444	LOC102077444	uncharacterized LOC102077444
102077445	LOC102077445	adhesion G protein-coupled receptor G3
102077446	LOC102077446	transcription factor 20%2C transcript variant X4
102077447	LOC102077447	uncharacterized LOC102077447%2C transcript variant X1
102077448	LOC102077448	membrane cofactor protein%2C transcript variant X2
102077449	LOC102077449	uncharacterized LOC102077449
102077450	LOC102077450	uncharacterized LOC102077450
102077451	LOC102077451	alpha-2-macroglobulin
102077454	LOC102077454	uncharacterized LOC102077454
102077459	LOC102077459	uncharacterized LOC102077459
102077461	LOC102077461	uncharacterized LOC102077461
102077462	LOC102077462	suppressor of tumorigenicity 14 protein
102077463	LOC102077463	hematopoietic progenitor cell antigen CD34
102077464	wdr27	WD repeat domain 27%2C transcript variant X2
102077465	LOC102077465	uncharacterized LOC102077465
102077467	LOC102077467	cyclic nucleotide-gated cation channel beta-3
102077468	LOC102077468	myosin-J heavy chain
102077474	LOC102077474	uncharacterized LOC102077474
102077475	znf217	zinc finger protein 217%2C transcript variant X4
102077476	LOC102077476	multifunctional protein ADE2
102077477	LOC102077477	uncharacterized LOC102077477
102077480	LOC102077480	butyrophilin subfamily 2 member A2-like%2C transcript variant X2
102077481	LOC102077481	ribonuclease inhibitor
102077482	LOC102077482	uncharacterized LOC102077482
102077483	LOC102077483	focadhesin
102077484	LOC102077484	GON-4-like protein
102077486	LOC102077486	uncharacterized LOC102077486%2C transcript variant X7
102077488	LOC102077488	zinc finger protein 23%2C transcript variant X6
102077490	LOC102077490	uncharacterized LOC102077490%2C transcript variant X3
102077491	LOC102077491	uncharacterized LOC102077491
102077492	LOC102077492	uncharacterized LOC102077492%2C transcript variant X1
102077493	lg7h15orf39	linkage group 7 C15orf39 homolog%2C transcript variant X1
102077494	LOC102077494	deleted in malignant brain tumors 1 protein%2C transcript variant X6
102077496	LOC102077496	complement C1q-like protein 2
102077498	LOC102077498	pregnancy-specific beta-1-glycoprotein 8-like
102077499	LOC102077499	forkhead box protein M1-like
102077500	LOC102077500	T-cell surface antigen CD2%2C transcript variant X6
102077501	LOC102077501	uncharacterized LOC102077501
102077503	LOC102077503	glypican-5%2C transcript variant X2
102077504	LOC102077504	NACHT%2C LRR and PYD domains-containing protein 3%2C transcript variant X3
102077505	LOC102077505	SLAM family member 5%2C transcript variant X1
102077506	LOC102077506	uncharacterized LOC102077506%2C transcript variant X2
102077507	iqce	IQ motif containing E
102077509	LOC102077509	uncharacterized LOC102077509%2C transcript variant X1
102077510	LOC102077510	adhesion G-protein coupled receptor G7%2C transcript variant X2
102077511	LOC102077511	transmembrane protease serine 9-like
102077512	LOC102077512	somatostatin receptor type 2-like
102077513	LOC102077513	uncharacterized LOC102077513
102077518	paqr9	progestin and adipoQ receptor family member 9
102077519	pltp	phospholipid transfer protein%2C transcript variant X3
102077520	LOC102077520	uncharacterized LOC102077520
102077525	LOC102077525	uncharacterized LOC102077525%2C transcript variant X3
102077526	LOC102077526	uncharacterized LOC102077526
102077527	LOC102077527	interferon-induced very large GTPase 1-like
102077528	LOC102077528	low-density lipoprotein receptor%2C transcript variant X2
102077529	LOC102077529	gastrula zinc finger protein XlCGF57.1
102077530	LOC102077530	uncharacterized LOC102077530
102077532	LOC102077532	uncharacterized LOC102077532
102077534	LOC102077534	uncharacterized LOC102077534%2C transcript variant X1
102077535	LOC102077535	pro-neuregulin-3%2C membrane-bound isoform%2C transcript variant X2
102077536	LOC102077536	uncharacterized LOC102077536
102077537	LOC102077537	uncharacterized LOC102077537
102077538	LOC102077538	uncharacterized LOC102077538
102077541	LOC102077541	SPARC-like protein 1%2C transcript variant X9
102077543	LOC102077543	extracellular matrix protein 2
102077544	LOC102077544	ataxin-7-like protein 2%2C transcript variant X2
102077546	LOC102077546	uncharacterized LOC102077546
102077547	LOC102077547	adhesion G-protein coupled receptor G2
102077548	LOC102077548	interleukin-17F%2C transcript variant X2
102077549	LOC102077549	UDP-glucuronosyltransferase 2B17
102077550	bend5	BEN domain containing 5%2C transcript variant X3
102077551	LOC102077551	uncharacterized LOC102077551%2C transcript variant X1
102077552	LOC102077552	uncharacterized LOC102077552
102077553	LOC102077553	uncharacterized LOC102077553%2C transcript variant X1
102077554	LOC102077554	uncharacterized LOC102077554
102077555	LOC102077555	interferon-induced GTP-binding protein Mx%2C transcript variant X3
102077556	LOC102077556	polymeric immunoglobulin receptor
102077558	LOC102077558	uncharacterized LOC102077558
102077559	LOC102077559	uncharacterized LOC102077559
102077560	LOC102077560	uncharacterized LOC102077560
102077561	LOC102077561	uncharacterized LOC102077561%2C transcript variant X1
102077562	LOC102077562	uncharacterized LOC102077562
102077564	LOC102077564	sterile alpha motif domain-containing protein 9%2C transcript variant X1
102077565	sertad1	SERTA domain containing 1%2C transcript variant X2
102077567	LOC102077567	uncharacterized LOC102077567
102077568	LOC102077568	uncharacterized LOC102077568
102077569	LOC102077569	uncharacterized LOC102077569%2C transcript variant X2
102077571	LOC102077571	uncharacterized LOC102077571
102077572	LOC102077572	uncharacterized LOC102077572%2C transcript variant X1
102077573	LOC102077573	uncharacterized LOC102077573
102077576	LOC102077576	uncharacterized LOC102077576
102077577	LOC102077577	uncharacterized LOC102077577%2C transcript variant X1
102077578	LOC102077578	V-set domain-containing T-cell activation inhibitor 1-like
102077580	LOC102077580	gastrula zinc finger protein XlCGF57.1
102077581	LOC102077581	NACHT%2C LRR and PYD domains-containing protein 1-like
102077583	LOC102077583	uncharacterized protein LOC106097728
102077584	LOC102077584	uncharacterized LOC102077584
102077585	LOC102077585	protein NLRC3-like%2C transcript variant X7
102077587	LOC102077587	B-cell receptor CD22%2C transcript variant X2
102077589	sned1	sushi%2C nidogen and EGF like domains 1%2C transcript variant X4
102077593	LOC102077593	zinc finger protein 646%2C transcript variant X2
102077594	LOC102077594	up-regulator of cell proliferation-like%2C transcript variant X2
102077595	LOC102077595	deleted in malignant brain tumors 1 protein-like%2C transcript variant X2
102077596	LOC102077596	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1%2C transcript variant X2
102077598	LOC102077598	leucine-rich repeat-containing protein 17
102077599	tmem119	transmembrane protein 119
102077602	LOC102077602	amphoterin-induced protein 2
102077603	LOC102077603	homeobox and leucine zipper protein Homez
102077606	LOC102077606	uncharacterized LOC102077606
102077607	LOC102077607	myelin-oligodendrocyte glycoprotein-like%2C transcript variant X1
102077608	LOC102077608	cell wall integrity and stress response component 3
102077609	LOC102077609	uncharacterized LOC102077609
102077610	LOC102077610	uncharacterized LOC102077610
102077611	LOC102077611	uncharacterized LOC102077611%2C transcript variant X1
102077612	LOC102077612	epidermal growth factor receptor substrate 15%2C transcript variant X4
102077614	LOC102077614	uncharacterized LOC102077614%2C transcript variant X3
102077617	LOC102077617	cornifelin homolog B
102077619	LOC102077619	EF-hand and coiled-coil domain-containing protein 1%2C transcript variant X3
102077620	LOC102077620	nuclear body protein SP140-like protein
102077621	LOC102077621	uncharacterized protein C22orf31
102077622	LOC102077622	ankyrin repeat domain-containing protein SOWAHC%2C transcript variant X1
102077623	LOC102077623	uncharacterized LOC102077623%2C transcript variant X2
102077624	LOC102077624	tripartite motif-containing protein 16-like
102077625	LOC102077625	uncharacterized LOC102077625
102077626	LOC102077626	ligand-dependent corepressor%2C transcript variant X2
102077627	LOC102077627	homeobox protein Nkx-2.3-like
102077629	LOC102077629	zinc finger BED domain-containing protein 1%2C transcript variant X1
102077631	LOC102077631	zona pellucida sperm-binding protein 3%2C transcript variant X2
102077632	lxn	latexin%2C transcript variant X2
102077633	LOC102077633	uncharacterized LOC102077633%2C transcript variant X3
102077634	LOC102077634	uncharacterized LOC102077634
102077635	LOC102077635	uncharacterized LOC102077635%2C transcript variant X2
102077642	LOC102077642	uncharacterized LOC102077642%2C transcript variant X1
102077643	LOC102077643	uncharacterized LOC102077643
102077647	LOC102077647	mucin-5AC
102077648	LOC102077648	focadhesin-like%2C transcript variant X1
102077649	LOC102077649	polymeric immunoglobulin receptor%2C transcript variant X2
102077650	LOC102077650	uncharacterized LOC102077650
102077651	LOC102077651	uncharacterized LOC102077651%2C transcript variant X2
102077652	LOC102077652	uncharacterized LOC102077652
102077653	LOC102077653	protocadherin-20%2C transcript variant X1
102077654	LOC102077654	uncharacterized LOC102077654
102077656	LOC102077656	probable vesicular acetylcholine transporter-A
102077657	LOC102077657	uncharacterized LOC102077657
102077659	LOC102077659	uncharacterized LOC102077659
102077663	LOC102077663	NEDD4-binding protein 1
102077664	LOC102077664	uncharacterized LOC102077664%2C transcript variant X1
102077665	LOC102077665	uncharacterized LOC102077665
102077667	LOC102077667	uncharacterized LOC102077667
102077670	LOC102077670	uncharacterized LOC102077670
102077672	LOC102077672	putative ankyrin repeat domain-containing protein 31
102077673	LOC102077673	leukocyte elastase inhibitor%2C transcript variant X1
102077674	LOC102077674	uncharacterized LOC102077674
102077675	chad	chondroadherin
102077676	LOC102077676	uncharacterized LOC102077676
102077677	LOC102077677	uncharacterized LOC102077677%2C transcript variant X7
102077678	LOC102077678	TRIO and F-actin-binding protein
102077679	card14	caspase recruitment domain family member 14
102077680	LOC102077680	C-type mannose receptor 2
102077681	LOC102077681	uncharacterized LOC102077681
102077683	LOC102077683	capZ-interacting protein%2C transcript variant X1
102077684	LOC102077684	uncharacterized LOC102077684%2C transcript variant X2
102077685	LOC102077685	uncharacterized LOC102077685
102077686	LOC102077686	interferon-induced very large GTPase 1%2C transcript variant X4
102077687	LOC102077687	cell surface A33 antigen%2C transcript variant X1
102077688	LOC102077688	junctional protein associated with coronary artery disease%2C transcript variant X2
102077689	cd244	CD244 molecule%2C transcript variant X1
102077690	LOC102077690	up-regulator of cell proliferation-like
102077693	LOC102077693	uncharacterized LOC102077693
102077694	LOC102077694	laminin subunit beta-3
102077695	LOC102077695	uncharacterized LOC102077695%2C transcript variant X8
102077697	LOC102077697	uncharacterized LOC102077697
